Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
The Pioneer Collective,(206) 310-2863,www.thepioneercollective.com,6000,Pioneer Square,N,Multi-use,2015,R,1908,2021,2014,0,0,,N,0,I don't know.,0,Y,Y,N,,N,5,,,,,,,0,100 South King Street Suite 100 Seattle WA 98104,"(47.598571999999997, -122.333794)"
University of Washington Music Library,(206) 543-1168,www.lib.washington.edu/music,1800,University District,Other,Music,1950,O,1950,,1950,0,0,,N,,Partial,0,N,N,N,,N,4,,,,,,,0,113 Music Building University of Washington Seattle WA 98195,"(47.657713999999999, -122.305882)"
Seattle Musical Theatre,(206) 393-2809,www.seattlemusicaltheatre.org,5000,Laurelhurst/Sand Point,Y,Performance,2006,R,1941,2018,1978,2,1,387,N,,Partial,0,Y,Y,Y,,Y,2,,,,,,,0,7400 Sand Point Way NE #101N Seattle WA 98103,"(47.682389999999998, -122.26369)"
Washington Lawyers for the Arts,(206) 328-7053,www.thewla.org,200,Downtown,Y,Arts/Cultural Training or Education,2011,Other,1985,,1976,2,0,,N,,Y,0,N,N,Y,,N,3,,,,,,,0,701 5th Ave. Suite 4100 Seattle WA 98104,"(47.604548000000001, -122.32993500000001)"
Somali Community Services of Seattle,(206) 422-7074,www.somcss.net,2287,Southside Seattle,Y,Performance,2013,R,1980,2018,1995,2,1,50,N,0,Y,28,I don't know.,Y,N,,I don't know.,4,,,,,,,0,8810 Renton Ave South Seattle WA 98118,"(47.523941000000001, -122.2762979)"
Illumination Learning Studio,(206) 789-ARTS,www.ILSKids.com,2500,Phinney Ridge,N,Arts/Cultural Training or Education,2013,R,1990,3,2013,0,1,40,N,,Y,0,Y,N,N,,N,4,,,,,,,0,7720 Greenwood Ave N #101 Seattle WA 98103,"(47.685279999999999, -122.354912)"
The Guitar Store,(206) 397-4438,www.seattleguitarstore.com,4300,Green Lake,N,Arts/Cultural Training or Education,2011,R,1950,2017,2011,1,0,,N,,Partial,0,Y,v,N,,N,1,,,,,,,0,8300 Aurora Ave N. Seattle WA 98103,"(47.666904099999996, -122.3127673)"
Zanadu Comics,(206) 443-1316,www.zanaducomics.com,2400,Downtown,N,Literary,1996,R,1930,2018,1976,2,0,,N,0,I don't know.,0,Y,N,N,,N,3,,,,,,,0,1923 3rd Ave Seattle WA 98101-1104,"(47.668869399999998, -122.3126674)"
Humanities Washington,(206) 682-1770,www.humanities.org,2450,South Lake Union,Y,Arts/Cultural Administration or Advocacy,2013,R,2000,2021,1973,5,0,,N,,Y,2,Y,N,N,,N,4,,,,,,,0,"1015 8th Ave. N., Suite B Seattle WA 98109","(47.613486899999998, -122.31444329999999)"
The Knitting School,(206) 353-1337,www.theknittingschool.com,360,Mt. Baker,N,Arts/Cultural Training or Education,2011,R,1940,,2008,1,0,,N,,N,0,N,N,N,,N,3,,,,,,,0,1507 30th Ave S Seattle WA 98144,"(47.589146, -122.293938)"
The Movement Lab,(425) 289-6851,www.themovementlab.youcanbook.me,1800,University District,N,Multi-use,2014,R,1940,2016,2011,0,0,,N,,N,2,N,Y,N,,N,1,,,,,,,0,4336 University Way NE Seattle WA 98105,"(47.720379299999998, -122.2979988)"
Revolution Books,(206) 325-7415,www.revolutionbookssea.org,1200,Pioneer Square,Y,Literary,2009,R,1889,No date.,1976,5,0,,Y,700,Y,0,Y,N,N,,N,3,,,,,,,0,89 S Washington St Seattle WA 98104,"(47.600887, -122.33448199999999)"
Ravenna Third Place Books,(206) 525-2347,www.thirdplacebooks.com,3500,Ravenna,N,Literary,2002,O,1930,,2000,0,1,35,N,,Y,29,Y,N,N,,N,5,,,,,,,0,6504 20th Ave. NE Seattle WA 98115,"(47.675987999999997, -122.30657100000001)"
Can Can Kitchen and Cabaret,(206) 652-0832,www.thecancan.com,500,Pike Market,N,Performance,2005,R,1920,,2005,1,1,58,N,,Y,0,N,N,Y,,N,5,,,,,,,0,Pike Place Market 94 Pike St. Seattle WA 98101,"(47.608811000000003, -122.340249)"
Martyr Sauce,(206) 624-0495,www.martyrsauce.com,110,Pioneer Square,Other,Performance,2012,R,1900,2016,2013,0,0,,Y,,N,0,Y,N,N,,N,2,,,,,,,0,122 S Washington St. Seattle WA 98104,"(47.60089, -122.33338500000001)"
Pilchuck Glass School Seattle,(206) 621-8422,www.pilchuck.com,2000,Pioneer Square,Y,Arts/Cultural Training or Education,1914,R,1900,2020,1971,3,0,,Y,400,Y,0,Y,Y,Y,,N,5,,,,,,,0,240 2nd Ave S. Suite 100 Seattle WA 98104,"(47.60051, -122.331586)"
Peter Miller Books,(206) 441-4114,www.petermiller.com,975,Belltown,N,Visual,2012,R,1930,2021,1980,3,0,,Y,900,Y,0,Y,N,N,,N,4,,,,,,,0,2326 2nd Ave Seattle WA 98121,"(47.614293000000004, -122.346108)"
Fluteworks Seattle,(206) 729-1903,www.facebook.com/fluteworksseattle,600,Ravenna,N,Music,2000,R,1931,It's month to month.,1988,1,0,,N,0,I don't know.,1,Y,N,N,,N,3,,,,,,,0,1029 NE 69th St Seattle WA 98115,"(47.678528, -122.316147)"
Laguna,(206) 682-6162,www.lagunapottery.com,2000,Pioneer Square,N,Visual,1997,R,1915,2025,1988,3,0,,Y,2000,Y,0,Y,N,N,,N,5,,,,,,,0,116 S. Washington St Seattle WA 98104,"(47.601050999999998, -122.333443)"
Feedback Lounge,(206) 453-3259,www.feedbacklounge.net,2900,West Seattle,N,Multi-use,2009,R,1930,2022,2009,0,0,150,N,0,Y,20,Y,Y,Y,,N,4,,,,,,,0,6451 California Ave. SW Seattle WA 98136,"(47.545138999999999, -122.38743030000001)"
City of Seattle Loyal Hts,(206) 684-4052,www.seattle.gov/parks/centers/Loyalhtd.htm,30000,Loyal Heights,Government,Multi-use,1959,Other,1952,,1959,0,0,,N,,Y,16,Y,Y,N,,N,5,,,,,,,0,2101 NW 77th St. Seattle WA 98117,"(47.684695699999999, -122.3828419)"
Martin-Zambito Fine Art,(206) 726-9509,www.martin-zambito.com,1200,First Hill,N,Visual,2009,R,1907,It's month to month.,1989,1,0,,Y,600,Y,2,N,N,N,,N,5,,,,,,,0,1117 Minor Ave Seattle WA 98101,"(47.610900999999998, -122.3254749)"
First Free Methodist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3200 3rd Ave West Seattle WA 98119,"(47.649357000000002, -122.360626)"
Kings Hall,(206) 550-4193,www.king shells rattle.com,10000,Beacon Hill,N,Performance,2010,R,1960,2020,2010,,1,800,Y,,Y,175,N,N,I don't know.,,N,4,,,,,,,0,2929 27th Ave South Seattle WA 98118,"(47.568109800000002, -122.29731390000001)"
Color 1 Photo,(206) 622-7107,www.color1photo.com,4000,Pioneer Square,N,Visual,2013,R,1890,,2004,1,0,,N,,I don't know.,0,Y,N,N,,N,2,,,,,,,0,411 2nd Avenue Ext. S Seattle WA 98104,"(47.599017000000003, -122.331575)"
Small Faces/Crown Hill Center,(206) 782-2611,www.smallfaces.org,1000,Crown Hill,Y,Multi-use,1909,O,201,,1989,0,0,,N,,Y,15,I don't know.,Y,N,,N,5,,,,,,,0,9250 14th Ave NW Seattle WA 98117,"(47.697253349999997, -122.37362109999999)"
Arab Center of Washington,,www.arabcenterwa.org,200,Haller Lake,Y,Arts/Cultural Administration or Advocacy,2001,R,1980,,1992,1,0,,I don't know.,0,Y,30,N,N,N,,Y,4,,,,,,,0,12525 28th Ave NE 2nd Floor Seattle WA 98125,"(47.719805999999998, -122.297703)"
Dance! West Seattle,(206) 938-3062,www.dancewestseattle.com,1600,Fauntleroy,N,Performance,1983,R,1916,2017,1983,0,0,,N,0,I don't know.,30,Y,Y,N,,N,5,,,,,,,0,9131 California Ave SW Seattle WA 98136,"(47.521957550000003, -122.3878746)"
Brooke Westlund Studio + Gallery,(425) 681-6037,www.brookewestlund.com,500,Pike Market,N,Visual,2014,R,1905,2018,2011,2,0,,Y,400,Y,0,Y,Y,N,,N,5,,,,,,,0,1516 Western Ave Seattle WA 98101,"(47.608863800000002, -122.34136959999999)"
Cornish College of the Arts,(206) 726-5151,www.cornish.edu,400000,South Lake Union,Y,Multi-use,1921,O,1921,,1914,2,3,200,Y,2500,Partial,75,Y,Y,Y,,Y,4,,,,,,,0,1000 Lenora Street Seattle WA 98121,"(47.608863800000002, -122.34136959999999)"
ArtsFund,(206) 281-9050,www.artsfund.org,3700,Queen Anne,Y,Arts/Cultural Administration or Advocacy,2006,O,1964,,1970,1,0,,N,,Y,40,Y,N,N,,N,5,,,,,,,0,10 Harrison St Suite 200 Seattle WA 98109,"(47.61819595, -122.3362331)"
Arts and Visually Impaired Audiences,(206) 323-7190,www.artsvia.org,90,Capitol Hill,Y,Arts/Cultural Administration or Advocacy,2010,R,1995,No date.,1991,4,0,,N,,Y,0,N,N,N,,Y,4,,,,,,,0,400 Harvard Ave. E. #202 Seattle WA 98102,"(47.622562000000002, -122.321693)"
Bass Northwest,(206) 622-2277,www.bassnw.com,2500,Pioneer Square,N,Music,1993,R,1889,5/1/16,1993,0,0,,N,0,I don't know.,0,Y,N,N,,N,4,,,,,,,0,119 Yesler Way Seattle WA 98104,"(47.622562000000002, -122.321701)"
Belltown Ballet BBC Studio,(206) 851-6526,www.belltownballet.com,1200,Belltown,N,Arts/Cultural Training or Education,2005,R,1,,1985,3,0,,N,,Y,0,Y,Y,N,,N,2,,,,,,,0,2306 4th Ave Seattle WA 98121,"(47.601599899999997, -122.3332441)"
AXIS Pioneer Square,(206) 681-9316,www.axispioneersquare.com,6000,Pioneer Square,N,Performance,2013,R,1890,,2013,0,0,,Y,800,I don't know.,0,Y,I don't know.,Y,,N,4,,,,,,,0,308 1st Ave S Seattle WA 98104,"(47.615788999999999, -122.3441663)"
All Metal Arts Hazardfactory,(206) 200-9496,www.allmetalarts.org,3000,South Park,N,Visual,2007,R,1985,2018,2000,2,0,,N,,I don't know.,20,Y,N,N,,N,2,,,,,,,0,7800 7th Ave South Seattle WA 98108,"(47.599744200000004, -122.33389649999999)"
Black Box Operations 12th Avenue Arts,(206 )566-6112,www.blackboxoperations.org,5000,Capitol Hill,Y,Performance,2015,R,2014,2030,2013,0,2,230,N,,Y,0,I don't know.,N,Y,,N,2,,,,,,,0,1620 12th Ave Suite 101 Seattle WA 98122,"(47.532420500000001, -122.3249576)"
Emeralda Works,(206) 498-9208,www.printmakingworld.com/emeralda,310,Capitol Hill,N,Arts/Cultural Training or Education,2008,O,2009,,1999,3,0,,Y,300,N,2,Y,N,N,,N,3,,,,,,,0,500 Aloha St #105 Seattle WA 98109,"(47.627403000000001, -122.347137)"
Hall Spassov Gallery,(206) 923-0816,www.hallspassov.com,5000,Pioneer Square,N,Visual,2002,R,1915,2017,2002,2,0,0,Y,5000,Y,0,Y,N,N,,N,4,,,,,,,0,319 3rd Avenue S Seattle WA 98104,"(47.627403000000001, -122.347137)"
Seattle Presents: A Gallery,(206) 733-9955,www.seattle.gov/arts/publicart/seattle_presents_gallery.asp,320,Downtown,Government,Visual,2014,R,1990,2016,1971,,0,,Y,320,Y,0,Y,N,N,,Y,3,,,,,,,0,700 5th Avenue Suite 401 Seattle WA 98104,"(47.5994156, -122.33051469999999)"
Pegasus Book Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4553 California Ave SW Seattle WA 98116,"(47.561455000000002, -122.38717699999999)"
West Seattle Fabric Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"3400 Harbor Ave SW #106 Seattle, WA 98126","(47.572735000000002, -122.37043)"
Woodland Park United Methodist,(206) 784-6969,www.woodlandparkumc.org,1200,Greenwood,Y,Multi-use,1950,O,1950,,1900,1,1,90,Y,300,Y,30,Y,Y,N,,N,3,,,,,,,0,302 N 78th St Seattle WA 98103,"(47.685527999999998, -122.355046)"
Vocalist Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peel Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Sound Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McComb Sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2230 1st Ave South Seattle, WA 98134","(47.582939000000003, -122.33369399999999)"
Piano Studio Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11716 23rd Ave NE Seattle WA 98125,"(47.714474000000003, -122.30413799999999)"
Saint Marks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1245 10th Ave East Seattle WA 98102,"(47.631858999999999, -122.32154800000001)"
Rainier Valley Cultural Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3515 S Alaska St Seattle WA 98118,"(47.560467000000003, -122.28797900000001)"
Fuzzy Lounge Recording,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4742 42nd Ave SW #617 Seattle WA 98116,"(47.560037000000001, -122.385507)"
Haller Lake Community Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12579 Densmore Ave N Seattle WA 98133,"(47.721671999999998, -122.338554)"
Daybreak Star Cultural Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3801 Bernie Whitebear Way Seattle WA 98199,"(47.651679999999999, -122.402069)"
The Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2220 NW Market St Seattle WA 98107,"(47.669089999999997, -122.385796)"
Stone Way Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3510 Stone Way N Seattle WA 98103,"(47.649878000000001, -122.34271099999999)"
House Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,325 2nd Ave West Seattle WA 98119,"(47.621780000000001, -122.359718)"
Bookworm Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5800 Rainier Ave S Seattle WA 98118,"(47.550286999999997, -122.27727299999999)"
Oromo Community Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2718 S Jackson St Seattle WA 98144,"(47.599215999999998, -122.296595)"
Horn of Africa Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4714 Rainier Avenue South Suite 105 Seattle WA 98118,"(47.560077, -122.286461)"
Chinese Information and Service Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,611 S Lane St Seattle WA 98104,"(47.596665000000002, -122.325649)"
Ted Brown Music,(206) 622-0171,www.tedbrownmyusic.com,2000,University District,Government,Music,2012,R,1960,,1931,4,0,0,No,,I don't know.,10,Y,Y,N,,N,5,,,,,,,0,1006 NE 65th St Seattle WA 98105,"(47.675826000000001, -122.317088)"
Bill & Melinda Gates Foundation Visitor Center,(206) 709-3100,www.gatesvc.org,10000,Uptown,Y,Arts/Cultural Administration or Advocacy,2012,O,2008,,2000,0,1,65,N,,Y,0,Y,N,N,,N,5,,,,,,,0,440 5th Ave. N Seattle 98109,"(47.622540999999998, -122.34748)"
Stretch and Staple Canvas Printing Company,(206) 607-9277,www.stretchandstaple.com,1150,Greenwood,N,Visual,2013,R,1930,2019,2008,2,0,,Y,600,Y,5,Y,N,Y,,N,4,,,,,,,0,8005 Greenwood Ave N. Seattle WA 98103,"(47.687136000000002, -122.355306)"
Fiber Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8212 Greenwood Avenue North Seattle WA 98103,"(47.688609999999997, -122.355293)"
St. James Cathedral,"804 9th Ave Seattle, WA 98104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"(47.607585999999998, -122.325935)"
Kremwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1809 Minor Ave #10 Seattle WA 98101,"(47.616871000000003, -122.33118399999999)"
KUOW Puget Sound Public Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4518 University Way NE Suite 310 Seattle WA 98105,"(47.661858000000002, -122.31279000000001)"
Seattle Center Phelps Center PNB Studios & Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,301 Mercer Street Seattle WA 98109,"(47.623843999999998, -122.349586)"
KCTS 9,"401 Mercer St. Seattle, WA, 98109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"(47.623882000000002, -122.348251)"
Seattle Center Fisher Pavilion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,298 2nd Ave N Seattle WA 98109,"(47.620840000000001, -122.352825)"
SIFF Cinema Uptown (see SIFF for answers to survey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,511 Queen Anne Ave N Seattle WA 98109,"(47.623615999999998, -122.356725)"
Pacific Northwest Ballet,(206) 441-9411,www.pnb.org,51000,Uptown,Y,Studios,1993,R,1993,2031,1972,1,1,150,N,,Y,0,Y,Y,N,,Y,5,,,,,,,0,301 Mercer Street Seattle WA 98109,"(47.623843999999998, -122.349586)"
Rainier Dance Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9264 57th Ave S Seattle WA 98118,"(47.519753000000001, -122.261269)"
Chihuly Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1111 NW 50th St Seattle WA 98107,"(47.665052000000003, -122.37121999999999)"
Phinney Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7405 Greenwood Ave. N Seattle WA 98103,"(47.682785000000003, -122.355621)"
Made Sewing Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,101 N 85th St Suite 201 Seattle WA 98103,"(47.690379999999998, -122.357727)"
Mercer Street Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7 Mercer St Seattle WA 98109,"(47.624592, -122.35645100000001)"
Queen Anne Book Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1811 Queen Anne Avenue North Seattle WA 98109,"(47.635185, -122.357361)"
Tara Academy of Irish Dance Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8551 Greenwood Avenue North Suite 4 Seattle WA 98103,"(47.692089000000003, -122.355721)"
Arts in Motion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4730 32nd Ave S Seattle WA,"(47.559882999999999, -122.290634)"
East African Community Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7054 32nd Ave S Seattle WA 98118,"(47.539422999999999, -122.29101799999999)"
Seattle Neighborhood Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1810 E. Yesler Way Seattle WA 98122,"(47.601849000000001, -122.30838799999999)"
Music Center of the Nrthwest,2065268443,mcnw.org,7500,Greenwood,Y,Music,1995,R,1952,N,1989,2,1,150,,,,,,,,,,,,,,,,,,901 N 96th St Seattle WA 98103,"(47.698452000000003, -122.346947)"
Rosewood Guitar,206 297-8788,rosewoodguitar.com,2000,Greenwood,N,Music,1999,O,1940,,1975,1,0,,N,,N,7,Y,N,N,,N,5,,,,,,,0,8402 GREENWOOD AVE N SEATTLE WA 98103,"(47.689979999999998, -122.354958)"
All That Dance,206-457-4891,info@all-that-dance.com,3000,Greenwood,N,Performance,2012,R,1970,2023,1995,1,0,,N,,Partial,25,N,N,N,,N,4,,,,,,,0,320 N 85th St Seattle WA 98103,"(47.691212, -122.35427900000001)"
The Salvation Army,206-783-1225,www.tsaseattletemple.org,19311,Greenwood,Y,Music,1972,O,1972,,1865,3,1,280,N,,Y,65,Y,Y,N,,N,5,,,,,,,0,9501 Greenwood Ave N Seattle WA 98103,"(47.698256999999998, -122.355942)"
Music Center of the Nrthwest,2065268443,mcnw.org,7500,Greenwood,Y,Music,1995,R,1952,,1989,2,1,150,N,,Partial,35,Y,Y,N,,Y,5,,,,,,,0,901 N 96th St Seattle WA 98103,"(47.698452000000003, -122.346947)"
School of Rock,206 417-7625,www.schoolofrock.com,2999,Greenwood,N,Music,2013,R,1965,,1998,1,0,,N,,Y,6,,N,N,,N,4,,,,,,,0,106 N 85th Seattle WA 98103,"(47.690652999999998, -122.35772799999999)"
Urban Light Studios,2067087281,http://urbanlightstudios.com/,4000,Greenwood,N,Studios,2008,R,1922,2017,2008,0,0,,Y,1500,Y,0,,Y,N,,N,5,,,,,,,0,8537 Greenwood Ave N Seattle WA 98103,"(47.691631000000001, -122.35571299999999)"
98.1 Classical KING FM,206-691-2981,KING.org,4000,Seattle Center in UptO,Y,Music,2001,R,1964,,1948,1,0,,N,,Y,0,Y,N,N,,,4,,,,,,,0,10 Harrison Street Suite 100 Seattle 98109,"(47.622152, -122.356531)"
Southwest Seattle Historical Society,206-938-5293,http://www.loghousemuseum.info,1100,Alki,Y,Heritage,1997,O,1904,,1984,0,1,20,Y,630,Y,23,Y,N,N,,N,5,,,,,,,0,3003 61st Ave SW Seattle WA 98116-2810,"(47.577553000000002, -122.41095)"
Moksha,2066322622,mokshaseattle.org,3000,University District,N,Multi-use,2002,R,1927,2017,2002,0,0,,Y,750,Y,0,Y,N,N,,N,1,,,,,,,0,4542 NE University Way,"(47.662072999999999, -122.31303)"
WordsWest Literary Series,2069301276,http://wordswestliterary.weebly.com,1500,West Seattle,Other,Literary,2014,Other,1918,,2014,0,1,,Y,1000,,0,Y,N,Y,,N,5,,,,,,,0,PO BOX 16035 Seattle WA 98116,
ProletariYacht Club,206-799-1180,acaravan.com,1064,West Seattle,N,Multi-use,2015,R,1971,,2009,1,1,40,Y,500,Partial,4,Y,Y,Y,,N,5,,,,,,,0,4316 SW Othello Seattle Wa 98136,"(47.538437000000002, -122.38826)"
"Dreamstrands Comics & Such, Inc.",206-297-3737,www.dreamstrands.com,2000,Greenwood,N,Literary,1999,R,1961,2017,1999,0,0,,N,,Y,6,Y,N,N,,N,4,,,,,,,0,115 N 85th ST Suite 102 Seattle WA 98103,"(47.690379999999998, -122.35739100000001)"
St. Luke's Episcopal Church Seattle,206-784-3119,stlukesseattle.org,10000,Ballard,Y,Multi-use,1924,O,1975,,1924,1,2,170,No,,Partial,25,Yes,Yes,No,,No,5,,,,,,,0,5710 22nd Ave NW Seattle WA 98107,"(47.670409999999997, -122.384102)"
SPCCCPPC,2063590359,SPCCCPPC@poetry.com,126,Rainier Valley,O,Literary,2010,Other,1927,2017,2010,3,1,650,Y,400,Y,8,Y,Y,N,,"We have been, but are not currently.",3,,,,,,,,4223 S Kenyon St Seattle WA 98118,"(47.531185000000001, -122.27956399999999)"
Rainier Chamber of Commerce & Rainier Chamber Foundation,206.725.2010,www.rainierchamber.com,1000,Columbia City,Y,Community Center,2009,R,2009,2020,1923,5,0,0,I don't know.,,Y,0,Y,N,N,,Y,5,,,,,,,,5290 Rainer Ave S Seattle WA 98118,"(47.554124999999999, -122.281108)"
Emerald City Fired Arts Studio and Gallery,206-7210450,http://www.emeraldcityfiredarts.com/,1323,Mt. Baker,N,Visual,2013,O,2010,,2012,0,0,0,Y,1323,Y,2,Y,Y,Y,,N,5,,,,,,,,3333 Rainer Ave S Suite A Seattle WA 98144,"(47.572997999999998, -122.294708)"
Vespertine Noise,206 923-8409,vespertinenoise.org,1600,Columbia City,Y,Music,2015,R,1906,2016,2015,0,0,0,N,,N,0,N,N,N,,N,2,,,,,,,,4904 Rainer Ave S Seattle WA 98118,"(47.557721999999998, -122.28491699999999)"
Royal Esquire Club Inc.,206-723-2811,www.royalesquireclub.com,9000,Columbia City,Y,Music,1986,O,1910,,1948,1,1,260,N,,Y,8,Y,Y,Y,,N,5,,,,,,,,5016 Rainer Ave S Seattle WA 98118,"(47.556854999999999, -122.284429)"
Southside Commons,206-568-5400,http://southsidecommons.org/,8060,Columbia City,Y,Multi-use,2009,O,1907,,2009,0,0,0,N,,Y,9,Y,Y,N,,N,5,,,,,,,,3518 S Edmunds St Seattle WA 98118,"(47.558867999999997, -122.287971)"
Vietnamese Friendship Association,206-760-1573,vfaseattle.org,1300,Columbia City,Y,Arts/Cultural Administration or Advocacy,2014,R,2007,2021,1978,1,0,0,N,,N,0,Y,N,N,,"We have been, but are not currently.",4,,,,,,,,3829B South Edmunds Street Seattle WA 98118,"(47.558494000000003, -122.284164)"
Rainier Community Center,2063861919,seattle.gov/parks,28400,Columbia City,G,Community Center,1995,O,1995,,1928,1,0,0,N,,Y,63,Y,Y,N,,N,5,,,,,,,,4600 38th Ave S Street Seattle Wa 98118,"(47.561653999999997, -122.284859)"
Columbia City Farmers Market,206-632-5234,www.seattlefarmersmarkets.org,10000,Columbia City,Y,Multi-use,1998,Other,1998,year to year - 2016,1998,1,0,0,N,,Y,0,Y,Y,Y,,N,3,,,,,,,,36th Ave A S Edmunds St 98118,"(47.542518999999999, -122.26902800000001)"
Ark Lodge Cinemas,206 721 3156,arklodgecinemas.com,7000,Columbia City,N,Cinema,2012,R,1921,2027,2012,0,4,422,N,,Partial,0,Y,N,N,,N,4,,,,,,,,4816 Rainer Ave South Seattle WA 98118,"(47.559012000000003, -122.285612)"
The Hillman City Collaboratory,(206) 669-8106,www.hillmancitycollaboratory.org,9000,Hillman City,Y,Visual,2014,R,2014,2021,2013,0,1,120,Y,2000,Y,20,Y,Y,Y,,N,4,,,,,,,,5623 Rainier Ave S Seattle WA 98118,"(47.551690999999998, -122.278043)"
